number,person,word,label
440, 0.25, trouble, 1
441, 0.1739, get, 1
442, 0.25, trouble, 1
443, 1.0, winner, 1
444, 1.0, have, 1
445, 0.2105, kind, 1
446, 0.0, Whats, 1
447, 1.0, voice, 1
448, 0.4, sound, 1
449, 0.0, lol, 1
450, 0.0, duobt, 1
451, 0.25, doubt, 1
452, 0.0, Lol, 1
453, 0.4, want, 1
454, 0.6667, call, 1
455, 0.8235, gramma, 1
456, 0.7692, work, 1
457, 0.5, n, 1
458, 1.0, have, 1
459, 0.7143, phone, 1
460, 1.0, card, 1
461, 0.6667, call, 1
462, 0.5, n, 1
463, 0.5714, stuff, 1
464, 0.7143, phone, 1
465, 0.7692, die, 1
466, 0.0, neway, 1
467, 0.7692, pic, 1
468, 0.2222, say, 1
469, 0.0, dan, 1
470, 0.375, be, 1
471, 0.0, yaeh, 1
472, 0.0, thatd, 1
473, 0.375, be, 1
474, 0.5714, lot, 1
475, 0.0, lol, 1
476, 0.0, Lol, 1
477, 0.4211, see, 1
478, 0.2222, june, 1
479, 0.3333, tell, 1
480, 0.8421, mom, 1
481, 0.2, like, 1
482, 0.0, raelly, 1
483, 0.375, be, 1
484, 0.375, be, 1
485, 0.2222, worry, 1
486, 0.2222, do, 1
487, 0.2, like, 1
488, 0.2105, yay, 1
489, 0.4, want, 1
490, 0.0, lol, 1
491, 0.2105, yay, 1
492, 0.0, lol, 1
493, 0.2105, yay, 1
494, 0.0, Lol, 1
495, 0.0, yeah, 1
496, 0.2, make, 1
497, 0.3333, blush, 1
498, 0.2222, do, 1
499, 0.4, sound, 1
500, 0.0, arent, 1
501, 1.0, kid, 1
502, 0.375, be, 1
503, 0.2222, do, 1
504, 0.0, hear, 1
505, 1.0, voice, 1
506, 0.2222, do, 1
507, 0.2222, bet, 1
508, 0.3333, tell, 1
509, 0.0, hacve, 1
510, 0.3529, go, 1
511, 0.7692, room, 1
512, 0.0, doesnt, 1
513, 0.4444, reach, 1
514, 0.375, be, 1
515, 0.0, taht, 1
516, 0.3333, ok, 1
517, 0.0, Uhhuh, 1
518, 0.2222, do, 1
519, 1.0, type, 1
520, 0.3333, tell, 1
521, 0.2222, do, 1
522, 0.5, n, 1
523, 0.2353, wont, 1
524, 0.2667, minute, 1
525, 0.6667, click, 1
526, 0.2222, cancel, 1
527, 1.0, type, 1
528, 0.375, be, 1
529, 0.4706, right, 1
530, 0.0, isnt, 1
531, 0.8333, stay, 1
532, 0.0, dont, 1
533, 0.1739, get, 1
534, 0.8333, ground, 1
535, 0.2353, wont, 1
536, 0.3333, tell, 1
537, 0.0, anyone, 1
538, 0.2667, trust, 1
539, 0.375, be, 1
540, 0.375, be, 1
541, 0.0, gon, 1
542, 0.2667, practice, 1
543, 0.4706, right, 1
544, 0.3529, go, 1
545, 0.6667, call, 1
546, 0.25, closing, 1
547, 0.5, n, 1
548, 0.3529, go, 1
549, 0.6667, call, 1
550, 1.0, Verifier, 1
551, 0.0, ladybass, 1
552, 0.3333, word, 1
553, 0.6667, call, 1
554, 0.3333, tell, 1
555, 0.4, sound, 1
556, 0.25, year, 1
557, 0.3333, tell, 1
558, 0.375, be, 1
559, 0.2353, try, 1
560, 0.5714, stuff, 1
561, 0.375, be, 1
562, 0.2353, concern, 1
563, 0.2222, say, 1
564, 0.375, be, 1
565, 0.3333, tell, 1
566, 0.375, be, 1
567, 1.0, have, 1
568, 1.0, voice, 1
569, 0.3333, tell, 1
570, 0.7143, phone, 1
571, 0.375, be, 1
572, 0.7692, die, 1
573, 0.2353, talk, 1
